epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,500.272,0.92689,1.42235,1.25873,0.72105,0.69149,0.70937,0.47748,1.16526,1.82215,1.60632,0.000664179,0.000664179,0.000664179
2,999.99,1.02883,1.10065,1.32269,0.74055,0.68017,0.75172,0.49457,1.19646,1.55884,1.53014,0.00128967,0.00128967,0.00128967
3,1491.71,1.03672,1.012,1.33257,0.70339,0.65319,0.72059,0.48508,1.20891,1.99116,1.52921,0.00187392,0.00187392,0.00187392
4,1980.7,1.00851,0.92914,1.30959,0.8202,0.75704,0.84492,0.60208,1.0532,1.03836,1.39888,0.00181438,0.00181438,0.00181438
5,2453.52,0.96031,0.84484,1.27363,0.84521,0.76383,0.85356,0.6139,1.06625,0.91454,1.37367,0.0017525,0.0017525,0.0017525
6,2920.4,0.9283,0.81243,1.25656,0.83968,0.71277,0.82674,0.5961,1.05706,0.96899,1.44994,0.00169063,0.00169063,0.00169063
7,3386.55,0.90566,0.75528,1.22738,0.87568,0.7943,0.887,0.67992,0.90134,0.75645,1.23417,0.00162875,0.00162875,0.00162875
8,3851.17,0.87402,0.73461,1.21104,0.85567,0.79469,0.87902,0.64488,0.96777,0.87484,1.3449,0.00156688,0.00156688,0.00156688
9,4315.31,0.85779,0.7042,1.20141,0.84327,0.76383,0.85564,0.63402,0.91229,0.96815,1.26404,0.001505,0.001505,0.001505
10,4779.22,0.83306,0.66873,1.1875,0.90071,0.81062,0.89115,0.65436,1.00213,0.80523,1.33477,0.00144312,0.00144312,0.00144312
11,5242.66,0.82197,0.65688,1.18058,0.88721,0.82004,0.90334,0.71026,0.83606,0.64755,1.18419,0.00138125,0.00138125,0.00138125
12,5706.98,0.8049,0.63232,1.16681,0.84085,0.8234,0.89347,0.69024,0.84802,0.74785,1.18132,0.00131938,0.00131938,0.00131938
13,6169.76,0.78669,0.61366,1.14897,0.89034,0.84646,0.91408,0.72677,0.78724,0.62115,1.13653,0.0012575,0.0012575,0.0012575
14,6632.37,0.77051,0.59765,1.14062,0.90809,0.84681,0.91924,0.72259,0.80936,0.60962,1.16033,0.00119562,0.00119562,0.00119562
15,7094.58,0.75723,0.57684,1.13369,0.93192,0.81545,0.91355,0.7264,0.81379,0.64403,1.15108,0.00113375,0.00113375,0.00113375
16,7557.26,0.75516,0.57403,1.13148,0.89366,0.82553,0.9076,0.71053,0.83526,0.66983,1.17682,0.00107187,0.00107187,0.00107187
17,8019.49,0.73091,0.54689,1.11797,0.91843,0.84468,0.93175,0.74651,0.78684,0.55238,1.10919,0.00101,0.00101,0.00101
18,8481.2,0.72615,0.54004,1.11511,0.93865,0.85532,0.92713,0.7419,0.78445,0.5595,1.12293,0.000948125,0.000948125,0.000948125
19,8944.72,0.72154,0.53283,1.10585,0.91475,0.86753,0.93696,0.74649,0.77693,0.53496,1.12464,0.00088625,0.00088625,0.00088625
20,9407.14,0.71043,0.51129,1.10584,0.9084,0.89149,0.94924,0.75973,0.78375,0.49823,1.11389,0.000824375,0.000824375,0.000824375
21,9869.51,0.69214,0.49529,1.08832,0.94588,0.83617,0.91566,0.73899,0.74674,0.59313,1.10424,0.0007625,0.0007625,0.0007625
22,10331.3,0.68815,0.48936,1.09188,0.89555,0.84894,0.92925,0.73764,0.78315,0.55649,1.11608,0.000700625,0.000700625,0.000700625
23,10788,0.61181,0.41988,1.06579,0.90648,0.87021,0.94494,0.75678,0.73994,0.50563,1.09775,0.00063875,0.00063875,0.00063875
24,11245.8,0.59784,0.39177,1.05616,0.94265,0.87429,0.94457,0.76338,0.74147,0.49393,1.0748,0.000576875,0.000576875,0.000576875
25,11702.8,0.57613,0.37122,1.0385,0.94145,0.85106,0.95021,0.77515,0.72518,0.49561,1.06022,0.000515,0.000515,0.000515
26,12159.6,0.5617,0.35586,1.02956,0.92625,0.88179,0.94949,0.78094,0.69678,0.47174,1.0558,0.000453125,0.000453125,0.000453125
27,12702.1,0.5477,0.34202,1.01921,0.93884,0.88178,0.9594,0.7917,0.698,0.46004,1.0477,0.00039125,0.00039125,0.00039125
28,13277.5,0.53328,0.33107,1.00754,0.94562,0.87447,0.94789,0.7784,0.72209,0.47365,1.05728,0.000329375,0.000329375,0.000329375
29,13851.9,0.51962,0.31997,1.00234,0.93623,0.91277,0.95166,0.79877,0.67922,0.45592,1.04209,0.0002675,0.0002675,0.0002675
30,14428.1,0.50619,0.30932,0.99505,0.94865,0.89149,0.96043,0.8026,0.66373,0.42826,1.01934,0.000205625,0.000205625,0.000205625
31,15006.1,0.48641,0.29192,0.97584,0.94643,0.90211,0.96058,0.80472,0.67413,0.40728,1.03069,0.00014375,0.00014375,0.00014375
32,15582.4,0.48297,0.28957,0.97531,0.94203,0.90851,0.96062,0.80155,0.66967,0.41044,1.02727,8.1875e-05,8.1875e-05,8.1875e-05
